Id,category,Question_Number,Question_Text,Answer_Format,Answer_Values
1,Lifestyle,1.0,In the past 12 months; have you used any tobacco or nicotine products? (including cigarettes; e-cigarettes; cigars; pipe; chewing tobacco; or nicotine replacements),Yes/No,Yes;No
2,Lifestyle,1.1,What type of tobacco/nicotine product do you use?,Multiple Choice,Cigarettes;Cigar/Pipe;E-cigarettes/Vape;Smokeless/chewing tobacco;Other
3,Lifestyle,1.2,How much do you typically use?,Multiple Choice,Occasional (few times a week or less);Light (1–5 per day);Moderate (6–20 per day);Heavy (>20 per day)
4,Lifestyle,1.3,How many years have you been using tobacco/nicotine?,Multiple Choice,Less than 1 year;1–5 years;6–10 years;More than 10 years
5,Lifestyle,1.4,Are you currently attempting to quit or reduce; or have you made any quit attempts in the last year?,Yes/No,Yes;No
6,Lifestyle,1.5,Have you experienced any health issues likely related to your smoking or tobacco use?,Multiple Choice,Minor difficulties; Moderate difficulties; Significant impact on health
7,Lifestyle,2.0,Do you ever consume alcoholic beverages?,Yes/No,Yes;No
8,Lifestyle,2.1,On average; how many units of alcohol do you drink per week? (1 unit ? 1 beer; 1 small wine; or 1 shot),Multiple Choice,0 (None);1–7 units;8–14 units;15–21 units;More than 21 units
9,Lifestyle,2.2,Has a doctor ever advised you to cut down or stop drinking alcohol?,Yes/No,Yes;No
10,Lifestyle,2.3,Have you ever sought counseling or treatment for alcohol use?,Yes/No,Yes;No
11,Lifestyle,2.4,In the past year have you experienced negative impacts from alcohol use (e.g. health; legal; or work issues)?,Yes/No,Yes;No
12,Lifestyle,2.5,What best describes your current alcohol use?,Multiple Choice,Occasional/Social drinker;Regular drinker (moderate);Heavy drinker;Former drinker (quit)
13,Lifestyle,3.0,Do you currently use any recreational drugs or have a history of substance abuse (non-prescribed)?,Yes/No,Yes;No
14,Lifestyle,3.1,Which substances do you use or have used?,Multiple Choice,Cannabis (marijuana/dagga);Cocaine or stimulants;Opiates/Opioids;Hallucinogens;Other
15,Lifestyle,3.2,How frequently do you currently use these substances?,Multiple Choice,No longer use (past use only);Rarely (few times a year);Occasionally (monthly);Regularly (weekly or more often)
